phi,KL-0.6,dKL-0.6,KL-0.25,dKL-0.25,KL0.35,dKL0.35,KL0.65,dKL0.65,KS-0.6,dKS-0.6,KS-0.25,dKS-0.25,KS0.05,dKS0.05,KS0.35,dKS0.35
0,18.5084,12.47387721,26.9667,7.245933053,25.397,9.145250015,38.558,12.91836008,7.8174,7.939528798,41.2018,8.691908769,28.525,10.34872882,27.5506,10.04724143
20,20.65391152,11.16579571,27.87668311,6.473772007,32.96023504,8.076954402,47.38278659,11.44655174,9.83438837,7.068938957,42.15345976,7.770127252,31.75293558,9.227101481,29.05421988,8.899278979
40,26.02973372,8.492042441,30.63961027,4.938546806,52.99257383,5.974312529,70.80085624,8.58431768,14.98623386,5.340810047,44.3145562,5.931583758,39.87372176,6.973315171,32.98323822,6.615399957
60,31.9569,7.562276565,35.28365,4.547021599,78.659,5.637879911,100.944,8.173383081,20.9909,4.941180512,45.9581,5.439670563,48.936,6.352637816,37.8497,6.138850316
80,35.41143548,8.554758183,41.65965229,5.249322631,101.8388663,6.802747608,128.4410894,9.786641519,25.23571638,5.776893396,45.21840747,6.258653715,54.46723778,7.351304398,41.91349457,7.304611136
100,34.46953304,8.554758183,49.26683166,5.249322631,116.4565699,6.802747608,146.2320398,9.786641519,25.97611748,5.776893396,41.09634703,6.258653715,53.59448204,7.351304398,43.93180734,7.304611136
120,29.2448,7.562276565,57.18765,4.547021599,120.749,5.637879911,152.171,8.173383081,23.1228,4.941180512,34.0891,5.439670563,46.423,6.352637816,43.6612,6.138850316
140,21.87455545,8.492042441,64.19848524,4.938546806,117.4781951,5.974312529,149.2851736,8.58431768,18.25249415,5.340810047,26.13019321,5.931583758,36.02358239,6.973315171,41.88697278,6.615399957
160,15.5568308,11.16579571,69.04273744,6.473772007,112.0635599,8.076954402,143.6580544,11.44655174,13.84104977,7.068938957,19.84703633,7.770127252,27.03004046,9.227101481,39.97626721,8.899278979
180,13.0842,12.47387721,70.7747,7.245933053,109.577,9.145250015,141.012,12.91836008,12.0812,7.939528798,17.4638,8.691908769,23.499,10.34872882,39.1736,10.04724143
200,15.5568308,11.16579571,69.04273744,6.473772007,112.0635599,8.076954402,143.6580544,11.44655174,13.84104977,7.068938957,19.84703633,7.770127252,27.03004046,9.227101481,39.97626721,8.899278979
220,21.87455545,8.492042441,64.19848524,4.938546806,117.4781951,5.974312529,149.2851736,8.58431768,18.25249415,5.340810047,26.13019321,5.931583758,36.02358239,6.973315171,41.88697278,6.615399957
240,29.2448,7.562276565,57.18765,4.547021599,120.749,5.637879911,152.171,8.173383081,23.1228,4.941180512,34.0891,5.439670563,46.423,6.352637816,43.6612,6.138850316
260,34.46953304,8.554758183,49.26683166,5.249322631,116.4565699,6.802747608,146.2320398,9.786641519,25.97611748,5.776893396,41.09634703,6.258653715,53.59448204,7.351304398,43.93180734,7.304611136
280,35.41143548,8.554758183,41.65965229,5.249322631,101.8388663,6.802747608,128.4410894,9.786641519,25.23571638,5.776893396,45.21840747,6.258653715,54.46723778,7.351304398,41.91349457,7.304611136
300,31.9569,7.562276565,35.28365,4.547021599,78.659,5.637879911,100.944,8.173383081,20.9909,4.941180512,45.9581,5.439670563,48.936,6.352637816,37.8497,6.138850316
320,26.02973372,8.492042441,30.63961027,4.938546806,52.99257383,5.974312529,70.80085624,8.58431768,14.98623386,5.340810047,44.3145562,5.931583758,39.87372176,6.973315171,32.98323822,6.615399957
340,20.65391152,11.16579571,27.87668311,6.473772007,32.96023504,8.076954402,47.38278659,11.44655174,9.83438837,7.068938957,42.15345976,7.770127252,31.75293558,9.227101481,29.05421988,8.899278979
360,18.5084,12.47387721,26.9667,7.245933053,25.397,9.145250015,38.558,12.91836008,7.8174,7.939528798,41.2018,8.691908769,28.525,10.34872882,27.5506,10.04724143
