Q2[GeV2],S_l[nb/sr],S_lt[nb/sr],S_t[nb/sr],S_tt[nb/sr],W[GeV],cos_th,dS_l[nb/sr],dS_lt[nb/sr],dS_t[nb/sr],dS_tt[nb/sr]
4.2,1.405,1.295,7.027,1.295,1.875,-1.0,0.311,0.0,1.554,0.0
4.2,1.405,-0.584,7.027,2.487,1.875,-0.99,0.324,0.145,1.62,0.207
4.2,1.405,-1.116,7.026,4.736,1.875,-0.98,0.337,0.29,1.685,0.414
4.2,1.405,-1.598,7.026,6.755,1.875,-0.97,0.35,0.435,1.748,0.62
4.2,1.405,-2.033,7.025,8.552,1.875,-0.96,0.362,0.58,1.81,0.827
4.2,1.405,-2.42,7.024,10.136,1.875,-0.95,0.374,0.726,1.871,1.034
4.2,1.405,-2.764,7.023,11.515,1.875,-0.94,0.386,0.871,1.93,1.241
4.2,1.405,-3.064,7.023,12.697,1.875,-0.93,0.397,1.016,1.987,1.447
4.2,1.404,-3.323,7.022,13.69,1.875,-0.92,0.409,1.161,2.043,1.654
4.2,1.404,-3.543,7.021,14.503,1.875,-0.91,0.42,1.306,2.098,1.861
4.2,1.404,-3.725,7.021,15.145,1.875,-0.9,0.43,1.451,2.151,2.068
4.2,1.404,-3.872,7.02,15.622,1.875,-0.89,0.44,1.596,2.202,2.274
4.2,1.404,-3.984,7.019,15.944,1.875,-0.88,0.45,1.741,2.252,2.481
4.2,1.404,-4.065,7.018,16.119,1.875,-0.87,0.46,1.886,2.301,2.688
4.2,1.403,-4.114,7.017,16.155,1.875,-0.86,0.47,2.031,2.348,2.895
4.2,1.403,-4.135,7.017,16.061,1.875,-0.85,0.479,2.177,2.393,3.101
4.2,1.403,-4.129,7.016,15.844,1.875,-0.84,0.487,2.322,2.437,3.308
4.2,1.403,-4.097,7.015,15.513,1.875,-0.83,0.496,2.467,2.48,3.515
4.2,1.403,-4.042,7.014,15.076,1.875,-0.82,0.504,2.612,2.521,3.722
4.2,1.403,-3.966,7.013,14.542,1.875,-0.81,0.512,2.757,2.56,3.928
4.2,1.402,-3.869,7.012,13.918,1.875,-0.8,0.52,2.902,2.599,4.135
4.2,1.402,-3.754,7.011,13.214,1.875,-0.79,0.527,3.047,2.635,4.342
4.2,1.402,-3.623,7.01,12.436,1.875,-0.78,0.534,3.192,2.67,4.549
4.2,1.394,-2.979,6.972,8.717,1.875,-0.77,0.542,3.191,2.711,4.653
4.2,1.382,-3.027,6.908,8.121,1.875,-0.76,0.551,3.053,2.757,4.654
4.2,1.372,-3.064,6.859,7.518,1.875,-0.75,0.56,2.926,2.799,4.654
4.2,1.365,-3.092,6.825,6.914,1.875,-0.74,0.568,2.81,2.838,4.655
4.2,1.361,-3.11,6.806,6.312,1.875,-0.73,0.575,2.705,2.874,4.655
4.2,1.36,-3.119,6.8,5.719,1.875,-0.72,0.581,2.61,2.906,4.654
4.2,1.362,-3.118,6.808,5.137,1.875,-0.71,0.587,2.524,2.936,4.654
4.2,1.366,-3.108,6.829,4.571,1.875,-0.7,0.592,2.448,2.962,4.653
4.2,1.373,-3.088,6.863,4.026,1.875,-0.69,0.597,2.381,2.986,4.652
4.2,1.382,-3.059,6.908,3.502,1.875,-0.68,0.601,2.324,3.007,4.65
4.2,1.393,-3.022,6.965,3.005,1.875,-0.67,0.605,2.274,3.025,4.649
4.2,1.407,-2.976,7.033,2.535,1.875,-0.66,0.608,2.233,3.041,4.647
4.2,1.422,-2.922,7.112,2.095,1.875,-0.65,0.611,2.199,3.055,4.646
4.2,1.44,-2.86,7.202,1.688,1.875,-0.64,0.613,2.173,3.066,4.644
4.2,1.46,-2.79,7.301,1.314,1.875,-0.63,0.615,2.154,3.075,4.642
4.2,1.482,-2.713,7.409,0.976,1.875,-0.62,0.616,2.141,3.081,4.64
4.2,1.505,-2.628,7.527,0.673,1.875,-0.61,0.617,2.135,3.086,4.638
4.2,1.531,-2.537,7.653,0.407,1.875,-0.6,0.618,2.135,3.089,4.635
4.2,1.557,-2.439,7.787,0.179,1.875,-0.59,0.618,2.141,3.09,4.633
4.2,1.586,-2.335,7.929,-0.011,1.875,-0.58,0.618,2.152,3.09,4.631
4.2,1.616,-2.226,8.079,-0.164,1.875,-0.57,0.618,2.168,3.088,4.629
4.2,1.647,-2.111,8.236,-0.279,1.875,-0.56,0.617,2.189,3.084,4.627
4.2,1.68,-1.991,8.4,-0.356,1.875,-0.55,0.616,2.214,3.079,4.625
4.2,1.714,-1.866,8.57,-0.396,1.875,-0.54,0.615,2.242,3.073,4.623
4.2,1.749,-1.737,8.746,-0.4,1.875,-0.53,0.613,2.275,3.066,4.621
4.2,1.786,-1.604,8.928,-0.368,1.875,-0.52,0.611,2.311,3.057,4.62
4.2,1.823,-1.467,9.115,-0.301,1.875,-0.51,0.61,2.349,3.048,4.618
4.2,1.861,-1.327,9.307,-0.2,1.875,-0.5,0.607,2.39,3.037,4.617
4.2,1.901,-1.184,9.504,-0.068,1.875,-0.49,0.605,2.434,3.026,4.616
4.2,1.941,-1.039,9.705,0.097,1.875,-0.48,0.603,2.479,3.015,4.615
4.2,1.982,-0.892,9.911,0.291,1.875,-0.47,0.601,2.526,3.003,4.614
4.2,2.024,-0.743,10.12,0.513,1.875,-0.46,0.598,2.574,2.99,4.614
4.2,2.066,-0.592,10.332,0.761,1.875,-0.45,0.595,2.622,2.977,4.614
4.2,2.11,-0.441,10.548,1.035,1.875,-0.44,0.593,2.672,2.964,4.614
4.2,2.153,-0.289,10.766,1.332,1.875,-0.43,0.59,2.721,2.95,4.615
4.2,2.197,-0.137,10.987,1.65,1.875,-0.42,0.587,2.77,2.937,4.616
4.2,2.242,0.015,11.211,1.988,1.875,-0.41,0.585,2.818,2.923,4.617
4.2,2.287,0.166,11.436,2.343,1.875,-0.4,0.582,2.866,2.91,4.619
4.2,2.333,0.317,11.664,2.714,1.875,-0.39,0.579,2.912,2.897,4.621
4.2,2.379,0.466,11.893,3.098,1.875,-0.38,0.577,2.957,2.885,4.623
4.2,2.425,0.614,12.123,3.493,1.875,-0.37,0.575,3.0,2.873,4.626
4.2,2.471,0.76,12.355,3.898,1.875,-0.36,0.572,3.04,2.862,4.63
4.2,2.516,0.903,12.578,4.311,1.875,-0.35,0.57,3.078,2.851,4.634
4.2,2.544,1.044,12.719,4.729,1.875,-0.34,0.568,3.113,2.841,4.638
4.2,2.572,1.182,12.858,5.15,1.875,-0.33,0.566,3.144,2.832,4.643
4.2,2.599,1.317,12.994,5.572,1.875,-0.32,0.565,3.172,2.824,4.649
4.2,2.626,1.448,13.128,5.994,1.875,-0.31,0.563,3.196,2.817,4.655
4.2,2.652,1.575,13.26,6.412,1.875,-0.3,0.562,3.215,2.811,4.662
4.2,2.678,1.698,13.389,6.826,1.875,-0.29,0.561,3.229,2.807,4.669
4.2,2.703,1.816,13.515,7.233,1.875,-0.28,0.561,3.24,2.804,4.677
4.2,2.728,1.929,13.638,7.632,1.875,-0.27,0.561,3.246,2.803,4.686
4.2,2.752,2.038,13.758,8.02,1.875,-0.26,0.561,3.248,2.805,4.696
4.2,2.775,2.141,13.876,8.395,1.875,-0.25,0.562,3.247,2.808,4.707
4.2,2.798,2.238,13.99,8.757,1.875,-0.24,0.563,3.243,2.814,4.719
4.2,2.837,2.329,14.187,9.102,1.875,-0.23,0.565,3.236,2.823,4.733
4.2,2.881,2.414,14.403,9.431,1.875,-0.22,0.567,3.226,2.834,4.747
4.2,2.924,2.493,14.618,9.74,1.875,-0.21,0.57,3.215,2.849,4.764
4.2,2.966,2.565,14.832,10.029,1.875,-0.2,0.574,3.202,2.868,4.781
4.2,3.009,2.63,15.046,10.296,1.875,-0.19,0.578,3.187,2.89,4.8
4.2,3.052,2.689,15.259,10.539,1.875,-0.18,0.583,3.171,2.916,4.821
4.2,3.094,2.739,15.471,10.759,1.875,-0.17,0.589,3.154,2.947,4.844
4.2,3.136,2.783,15.682,10.952,1.875,-0.16,0.596,3.137,2.982,4.869
4.2,3.178,2.818,15.892,11.119,1.875,-0.15,0.604,3.119,3.022,4.896
4.2,3.22,2.846,16.101,11.258,1.875,-0.14,0.613,3.102,3.066,4.925
4.2,3.262,2.865,16.309,11.368,1.875,-0.13,0.623,3.085,3.116,4.956
4.2,3.303,2.877,16.515,11.449,1.875,-0.12,0.634,3.069,3.172,4.99
4.2,3.344,2.88,16.72,11.499,1.875,-0.11,0.647,3.054,3.233,5.026
4.2,3.385,2.875,16.923,11.519,1.875,-0.1,0.66,3.041,3.3,5.064
4.2,3.425,2.861,17.124,11.507,1.875,-0.09,0.675,3.029,3.373,5.106
4.2,3.465,2.838,17.324,11.464,1.875,-0.08,0.69,3.019,3.452,5.149
