Q2[GeV2],S_l[nb/sr],S_lt[nb/sr],S_t[nb/sr],S_tt[nb/sr],W[GeV],cos_th,dS_l[nb/sr],dS_lt[nb/sr],dS_t[nb/sr],dS_tt[nb/sr]
5.0,1.119,1.24,5.595,1.24,1.875,-1.0,0.372,0.0,1.86,0.0
5.0,1.119,-1.059,5.595,3.939,1.875,-0.99,0.42,0.272,2.099,0.354
5.0,1.119,-2.019,5.595,7.508,1.875,-0.98,0.466,0.544,2.332,0.708
5.0,1.119,-2.884,5.595,10.72,1.875,-0.97,0.512,0.817,2.56,1.062
5.0,1.119,-3.658,5.595,13.586,1.875,-0.96,0.556,1.089,2.781,1.416
5.0,1.119,-4.343,5.595,16.12,1.875,-0.95,0.599,1.361,2.997,1.771
5.0,1.119,-4.944,5.595,18.335,1.875,-0.94,0.641,1.633,3.207,2.125
5.0,1.119,-5.462,5.595,20.243,1.875,-0.93,0.682,1.906,3.411,2.479
5.0,1.119,-5.902,5.595,21.858,1.875,-0.92,0.722,2.178,3.609,2.833
5.0,1.119,-6.268,5.595,23.192,1.875,-0.91,0.76,2.45,3.801,3.187
5.0,1.119,-6.561,5.595,24.258,1.875,-0.9,0.798,2.722,3.988,3.541
5.0,1.119,-6.786,5.595,25.069,1.875,-0.89,0.834,2.995,4.168,3.895
5.0,1.119,-6.946,5.595,25.637,1.875,-0.88,0.869,3.267,4.343,4.249
5.0,1.119,-7.045,5.595,25.976,1.875,-0.87,0.902,3.539,4.511,4.603
5.0,1.119,-7.085,5.595,26.098,1.875,-0.86,0.935,3.811,4.674,4.958
5.0,1.119,-7.07,5.595,26.016,1.875,-0.85,0.966,4.084,4.831,5.312
5.0,1.119,-7.003,5.595,25.742,1.875,-0.84,0.997,4.356,4.983,5.666
5.0,1.119,-6.888,5.595,25.291,1.875,-0.83,1.026,4.628,5.128,6.02
5.0,1.119,-6.728,5.594,24.674,1.875,-0.82,1.053,4.9,5.267,6.374
5.0,1.119,-6.526,5.594,23.904,1.875,-0.81,1.08,5.173,5.401,6.728
5.0,1.119,-6.286,5.594,22.995,1.875,-0.8,1.106,5.445,5.529,7.082
5.0,1.119,-6.01,5.594,21.958,1.875,-0.79,1.13,5.717,5.65,7.436
5.0,1.119,-5.703,5.594,20.807,1.875,-0.78,1.153,5.989,5.766,7.791
5.0,1.112,-4.42,5.561,15.022,1.875,-0.77,1.182,5.965,5.908,8.025
5.0,1.101,-4.362,5.507,14.188,1.875,-0.76,1.214,5.662,6.07,8.131
5.0,1.094,-4.291,5.469,13.339,1.875,-0.75,1.243,5.382,6.217,8.226
5.0,1.089,-4.207,5.445,12.485,1.875,-0.74,1.27,5.126,6.351,8.31
5.0,1.087,-4.11,5.435,11.632,1.875,-0.73,1.294,4.891,6.471,8.384
5.0,1.088,-4.002,5.438,10.787,1.875,-0.72,1.316,4.678,6.579,8.447
5.0,1.091,-3.882,5.455,9.958,1.875,-0.71,1.335,4.486,6.675,8.501
5.0,1.097,-3.751,5.484,9.148,1.875,-0.7,1.352,4.313,6.758,8.545
5.0,1.105,-3.61,5.524,8.365,1.875,-0.69,1.366,4.16,6.83,8.58
5.0,1.115,-3.458,5.576,7.612,1.875,-0.68,1.378,4.024,6.891,8.606
5.0,1.128,-3.297,5.639,6.894,1.875,-0.67,1.388,3.907,6.942,8.623
5.0,1.142,-3.126,5.712,6.214,1.875,-0.66,1.396,3.806,6.982,8.633
5.0,1.159,-2.946,5.796,5.576,1.875,-0.65,1.402,3.721,7.012,8.634
5.0,1.178,-2.758,5.889,4.983,1.875,-0.64,1.407,3.651,7.034,8.629
5.0,1.198,-2.562,5.99,4.437,1.875,-0.63,1.409,3.596,7.046,8.616
5.0,1.22,-2.359,6.101,3.94,1.875,-0.62,1.41,3.555,7.049,8.596
5.0,1.244,-2.149,6.22,3.493,1.875,-0.61,1.409,3.526,7.045,8.57
5.0,1.269,-1.932,6.347,3.098,1.875,-0.6,1.407,3.51,7.033,8.538
5.0,1.296,-1.709,6.482,2.756,1.875,-0.59,1.403,3.505,7.014,8.5
5.0,1.325,-1.481,6.624,2.467,1.875,-0.58,1.398,3.511,6.988,8.456
5.0,1.355,-1.247,6.773,2.232,1.875,-0.57,1.391,3.527,6.955,8.408
5.0,1.386,-1.009,6.928,2.05,1.875,-0.56,1.383,3.552,6.917,8.354
5.0,1.418,-0.767,7.09,1.921,1.875,-0.55,1.375,3.585,6.873,8.296
5.0,1.451,-0.522,7.257,1.844,1.875,-0.54,1.365,3.626,6.824,8.235
5.0,1.486,-0.273,7.43,1.819,1.875,-0.53,1.354,3.674,6.77,8.169
5.0,1.522,-0.021,7.608,1.845,1.875,-0.52,1.342,3.728,6.712,8.1
5.0,1.558,0.232,7.791,1.919,1.875,-0.51,1.33,3.787,6.651,8.028
5.0,1.596,0.488,7.978,2.041,1.875,-0.5,1.317,3.851,6.585,7.953
5.0,1.634,0.744,8.17,2.209,1.875,-0.49,1.303,3.919,6.517,7.876
5.0,1.673,1.002,8.365,2.421,1.875,-0.48,1.289,3.989,6.447,7.797
5.0,1.713,1.259,8.564,2.675,1.875,-0.47,1.275,4.062,6.374,7.716
5.0,1.753,1.516,8.766,2.968,1.875,-0.46,1.26,4.137,6.299,7.634
5.0,1.794,1.773,8.971,3.299,1.875,-0.45,1.245,4.212,6.223,7.55
5.0,1.836,2.029,9.179,3.665,1.875,-0.44,1.229,4.288,6.147,7.466
5.0,1.878,2.283,9.389,4.063,1.875,-0.43,1.214,4.362,6.07,7.382
5.0,1.92,2.535,9.601,4.49,1.875,-0.42,1.199,4.435,5.993,7.297
5.0,1.963,2.784,9.815,4.945,1.875,-0.41,1.183,4.506,5.916,7.213
5.0,2.006,3.031,10.03,5.424,1.875,-0.4,1.168,4.574,5.84,7.13
5.0,2.049,3.274,10.247,5.924,1.875,-0.39,1.153,4.637,5.766,7.047
5.0,2.093,3.514,10.465,6.442,1.875,-0.38,1.139,4.697,5.693,6.966
5.0,2.137,3.749,10.684,6.976,1.875,-0.37,1.124,4.751,5.622,6.887
