W,Q2,eps,cos_th,Su,dSu,Slt,dSlt,Stt,dStt
1.63,1.8,0.8695,-0.775,76.344,9.64696,4.392,5.1905,6.624,7.99167
1.63,1.8,0.8695,-0.525,66.2,8.52298,3.693,4.50178,-17.216,7.72908
1.63,1.8,0.8695,-0.3,50.957,7.0403,7.654,4.62846,0.549,7.02829
1.63,1.8,0.8695,-0.1,55.231,7.36197,-2.075,4.4696,8.064,7.20603
1.63,1.8,0.8695,0.1,38.716,5.36639,-4.783,3.62743,10.601,5.89985
1.63,1.8,0.8695,0.3,61.3,7.83578,-6.968,4.25974,-0.36,7.07513
1.63,1.8,0.8695,0.5,55.52,7.29951,-11.009,4.00763,-13.567,7.31822
1.63,1.8,0.8695,0.675,53.389,7.42839,-2.253,4.46479,-7.855,8.08441
1.63,1.8,0.8695,0.825,72.8,9.84352,8.341,5.99003,1.791,9.83623
1.63,1.8,0.8695,0.95,66.561,10.7393,0.627,8.78031,7.033,13.9752
1.675,1.8,0.8601,-0.775,92.053,11.1807,-1.47,5.07092,-1.273,8.07337
1.675,1.8,0.8601,-0.525,84.724,10.1771,-1.785,4.56977,-4.107,7.14917
1.675,1.8,0.8601,-0.3,85.306,10.2874,5.069,4.6837,-5.296,7.34917
1.675,1.8,0.8601,-0.1,80.557,9.77178,-10.179,4.58922,7.057,7.19354
1.675,1.8,0.8601,0.1,88.336,10.6927,-18.198,4.73921,-14.346,7.9072
1.675,1.8,0.8601,0.3,90.775,10.921,-17.169,4.64574,-8.505,7.74519
1.675,1.8,0.8601,0.5,111.72,13.048,-18.896,4.81195,8.626,7.5121
1.675,1.8,0.8601,0.675,157.493,18.2228,-21.926,5.85403,-8.456,9.50364
1.675,1.8,0.8601,0.825,181.944,20.9156,-9.288,5.71134,-17.06,10.1384
1.675,1.8,0.8601,0.95,244.912,28.4635,-5.819,9.22715,-4.245,15.402
1.725,1.8,0.8493,-0.775,62.545,7.80295,6.836,4.47505,2.069,6.54948
1.725,1.8,0.8493,-0.525,48.637,5.9122,-4.959,2.88495,-14.994,4.96243
1.725,1.8,0.8493,-0.3,64.236,7.65698,-18.724,3.75604,-17.69,5.53364
1.725,1.8,0.8493,-0.1,72.6,8.59021,-20.315,4.24236,1.682,5.56248
1.725,1.8,0.8493,0.1,103.985,12.0997,-26.415,5.19926,-5.346,6.83169
1.725,1.8,0.8493,0.3,126.715,14.7571,-25.153,5.98371,7.104,8.246
1.725,1.8,0.8493,0.5,173.094,19.9641,-25.88,6.45964,14.784,9.6857
1.725,1.8,0.8493,0.675,222.203,25.2843,-29.685,10.7448,-3.699,4.64819
1.725,1.8,0.8493,0.825,286.963,32.3743,-21.821,6.78283,-6.495,10.703
1.725,1.8,0.8493,0.95,359.912,40.9274,-5.383,9.74338,-2.334,16.3653
1.775,1.8,0.838,-0.775,22.583,3.43395,5.321,3.13641,5.349,4.13563
1.775,1.8,0.838,-0.525,33.331,4.18685,-8.016,2.64113,-9.157,4.01363
1.775,1.8,0.838,-0.3,57.427,6.87898,-23.652,4.17414,-10.671,5.0333
1.775,1.8,0.838,-0.1,74.602,8.73215,-21.461,4.15064,-6.437,5.30374
1.775,1.8,0.838,0.1,111.824,12.8248,-25.89,4.86898,-5.805,6.1536
1.775,1.8,0.838,0.3,133.959,15.3275,-28.706,5.58717,-11.346,7.30169
1.775,1.8,0.838,0.5,175.972,20.0993,-31.101,6.65159,12.377,8.96375
1.775,1.8,0.838,0.675,204.616,23.4647,-19.415,6.4418,-0.771,10.6114
1.775,1.8,0.838,0.825,247.12,27.8882,-6.498,5.7257,3.798,9.44646
1.775,1.8,0.838,0.95,303.89,34.4395,0.271,7.93006,14.748,13.0654
1.825,1.8,0.825,-0.775,27.227,3.89683,8.975,3.33085,-3.063,4.45942
1.825,1.8,0.825,-0.525,32.224,4.02651,-0.884,2.04761,-13.886,3.88865
1.825,1.8,0.825,-0.3,52.674,6.2962,-18.03,3.57236,-3.474,4.47649
1.825,1.8,0.825,-0.1,71.238,8.44608,-10.717,4.35923,-0.634,6.17645
1.825,1.8,0.825,0.1,85.341,9.86088,-15.259,3.89256,4.913,5.38775
1.825,1.8,0.825,0.3,119.084,13.5924,-28.92,5.14664,-7.23,6.20592
1.825,1.8,0.825,0.5,136.231,15.5749,-16.624,5.22176,0.41,7.58715
1.825,1.8,0.825,0.675,163.855,18.9382,-12.401,5.5587,-15.518,9.7299
1.825,1.8,0.825,0.825,204.949,23.1989,-20.419,5.48915,-24.898,9.12545
1.825,1.8,0.825,0.95,286.487,32.4036,-18.771,7.58013,-17.842,11.9163
1.875,1.8,0.8128,-0.775,33.422,4.31515,-4.076,2.73785,3.112,4.24664
1.875,1.8,0.8128,-0.525,35.432,4.31989,-0.461,2.01672,-8.264,3.55501
1.875,1.8,0.8128,-0.3,42.126,5.05978,-12.409,2.70892,-1.971,3.72814
1.875,1.8,0.8128,-0.1,51.044,6.05232,-15.067,3.18112,-7.953,4.27158
1.875,1.8,0.8128,0.1,80.835,9.42234,-14.237,4.29331,-2.948,5.87913
1.875,1.8,0.8128,0.3,89.921,10.311,-14.172,3.59786,-15.009,5.44684
1.875,1.8,0.8128,0.5,131.759,15.0002,-4.113,4.45308,7.959,6.96354
1.875,1.8,0.8128,0.675,156.688,18.0576,-15.164,5.75244,-1.346,8.90039
1.875,1.8,0.8128,0.825,188.17,21.3389,-8.223,4.92979,0.523,8.33722
1.875,1.8,0.8128,0.95,271.251,30.6528,-13.486,7.10541,-7.443,11.1331
1.925,1.8,0.7996,-0.775,27.031,3.59431,0.736,2.55545,12.302,4.01487
1.925,1.8,0.7996,-0.525,24.18,3.0244,-0.338,1.5705,-8.355,2.89691
1.925,1.8,0.7996,-0.3,24.822,3.10239,-2.18,1.72496,-2.593,2.81341
1.925,1.8,0.7996,-0.1,36.896,4.45801,-8.437,2.34944,-6.328,3.56767
1.925,1.8,0.7996,0.1,46.913,5.58144,-15.607,3.29438,-11.717,4.41522
1.925,1.8,0.7996,0.3,77.949,8.99361,-11.029,3.58807,-5.682,5.2205
1.925,1.8,0.7996,0.5,107.04,12.1839,-14.391,3.82188,0.885,5.53297
1.925,1.8,0.7996,0.675,133.85,15.4783,-7.409,5.51851,1.799,8.33766
1.925,1.8,0.7996,0.825,187.544,21.279,-6.221,4.8964,-0.153,8.41402
1.925,1.8,0.7996,0.95,258.416,29.1652,-13.708,6.52711,-1.508,10.3725
1.975,1.8,0.7836,-0.775,25.178,3.30864,1.337,2.27638,3.012,3.50377
1.975,1.8,0.7836,-0.525,11.039,1.51444,1.571,1.0837,-1.891,1.72723
1.975,1.8,0.7836,-0.3,14.053,1.94213,-1.055,1.40244,-1.211,2.31334
1.975,1.8,0.7836,-0.1,21.799,2.76595,-6.038,1.68068,-6.702,2.79044
1.975,1.8,0.7836,0.1,40.692,4.86004,-12.815,2.7188,-12.47,3.95402
1.975,1.8,0.7836,0.3,63.626,7.40228,-17.491,3.71873,-11.993,4.98842
1.975,1.8,0.7836,0.5,96.62,11.008,-3.764,3.32529,1.465,5.2418
1.975,1.8,0.7836,0.675,113.25,13.136,-5.78,5.13374,6.848,7.72069
1.975,1.8,0.7836,0.825,154.553,17.6687,-6.056,5.01233,21.237,8.32066
1.975,1.8,0.7836,0.95,247.78,27.9386,-19.916,6.36674,23.196,10.2199
2.025,1.8,0.7683,-0.775,7.431,1.30479,2.392,1.35521,1.898,1.91393
