Q2[GeV2],S_l[nb/sr],S_lt[nb/sr],S_t[nb/sr],S_tt[nb/sr],W[GeV],cos_th,dS_l[nb/sr],dS_lt[nb/sr],dS_t[nb/sr],dS_tt[nb/sr]
4.2,0.554,1.295,2.772,1.295,1.825,-1.0,0.525,0.0,2.623,0.0
4.2,0.552,-0.054,2.762,-0.535,1.825,-0.99,0.518,0.119,2.592,0.187
4.2,0.55,-0.115,2.751,-1.013,1.825,-0.98,0.512,0.238,2.561,0.374
4.2,0.548,-0.182,2.74,-1.434,1.825,-0.97,0.506,0.357,2.531,0.561
4.2,0.546,-0.255,2.729,-1.802,1.825,-0.96,0.5,0.476,2.502,0.748
4.2,0.543,-0.332,2.717,-2.118,1.825,-0.95,0.495,0.595,2.473,0.935
4.2,0.541,-0.414,2.705,-2.385,1.825,-0.94,0.489,0.714,2.445,1.123
4.2,0.538,-0.5,2.692,-2.603,1.825,-0.93,0.484,0.833,2.418,1.31
4.2,0.536,-0.589,2.68,-2.776,1.825,-0.92,0.478,0.952,2.391,1.497
4.2,0.533,-0.68,2.667,-2.905,1.825,-0.91,0.473,1.071,2.365,1.684
4.2,0.531,-0.773,2.653,-2.992,1.825,-0.9,0.468,1.191,2.34,1.871
4.2,0.528,-0.868,2.64,-3.04,1.825,-0.89,0.463,1.31,2.315,2.058
4.2,0.525,-0.963,2.626,-3.049,1.825,-0.88,0.458,1.429,2.291,2.245
4.2,0.522,-1.058,2.612,-3.023,1.825,-0.87,0.453,1.548,2.267,2.432
4.2,0.52,-1.153,2.598,-2.963,1.825,-0.86,0.449,1.667,2.244,2.619
4.2,0.517,-1.247,2.584,-2.871,1.825,-0.85,0.444,1.786,2.222,2.806
4.2,0.514,-1.338,2.571,-2.75,1.825,-0.84,0.44,1.905,2.201,2.993
4.2,0.511,-1.428,2.557,-2.6,1.825,-0.83,0.436,2.024,2.18,3.18
4.2,0.509,-1.514,2.543,-2.425,1.825,-0.82,0.432,2.143,2.16,3.368
4.2,0.506,-1.597,2.53,-2.226,1.825,-0.81,0.428,2.262,2.14,3.555
4.2,0.503,-1.676,2.517,-2.005,1.825,-0.8,0.424,2.381,2.121,3.742
4.2,0.501,-1.75,2.505,-1.765,1.825,-0.79,0.421,2.5,2.103,3.929
4.2,0.501,-1.818,2.505,-1.506,1.825,-0.78,0.417,2.619,2.085,4.116
4.2,0.499,-1.871,2.497,-1.44,1.825,-0.77,0.414,2.644,2.071,4.182
4.2,0.497,-1.6,2.486,-0.869,1.825,-0.76,0.412,2.581,2.061,4.13
4.2,0.5,-1.337,2.502,-0.3,1.825,-0.75,0.41,2.527,2.05,4.084
4.2,0.506,-1.082,2.529,0.262,1.825,-0.74,0.408,2.48,2.039,4.042
4.2,0.513,-0.836,2.566,0.814,1.825,-0.73,0.406,2.442,2.028,4.004
4.2,0.523,-0.6,2.614,1.351,1.825,-0.72,0.403,2.41,2.017,3.971
4.2,0.534,-0.374,2.67,1.87,1.825,-0.71,0.401,2.386,2.006,3.943
4.2,0.547,-0.159,2.733,2.369,1.825,-0.7,0.399,2.369,1.995,3.918
4.2,0.561,0.045,2.803,2.845,1.825,-0.69,0.397,2.357,1.984,3.897
4.2,0.576,0.238,2.878,3.295,1.825,-0.68,0.395,2.352,1.974,3.881
4.2,0.578,0.418,2.891,3.717,1.825,-0.67,0.393,2.353,1.963,3.868
4.2,0.594,0.586,2.972,4.109,1.825,-0.66,0.391,2.358,1.953,3.858
4.2,0.611,0.742,3.056,4.469,1.825,-0.65,0.388,2.369,1.942,3.852
4.2,0.628,0.886,3.142,4.796,1.825,-0.64,0.387,2.384,1.933,3.849
4.2,0.646,1.017,3.231,5.089,1.825,-0.63,0.385,2.404,1.923,3.849
4.2,0.664,1.135,3.322,5.346,1.825,-0.62,0.383,2.427,1.914,3.852
4.2,0.683,1.241,3.415,5.566,1.825,-0.61,0.381,2.454,1.905,3.858
4.2,0.702,1.335,3.509,5.75,1.825,-0.6,0.379,2.485,1.897,3.866
4.2,0.721,1.416,3.604,5.896,1.825,-0.59,0.378,2.518,1.889,3.877
4.2,0.74,1.485,3.701,6.004,1.825,-0.58,0.376,2.554,1.882,3.89
4.2,0.76,1.542,3.798,6.074,1.825,-0.57,0.375,2.592,1.876,3.906
4.2,0.779,1.587,3.896,6.105,1.825,-0.56,0.374,2.631,1.87,3.923
4.2,0.799,1.621,3.995,6.099,1.825,-0.55,0.373,2.673,1.864,3.943
4.2,0.819,1.643,4.094,6.056,1.825,-0.54,0.372,2.715,1.86,3.964
4.2,0.839,1.654,4.195,5.975,1.825,-0.53,0.371,2.759,1.856,3.986
4.2,0.859,1.654,4.296,5.858,1.825,-0.52,0.371,2.802,1.853,4.01
4.2,0.88,1.644,4.398,5.705,1.825,-0.51,0.37,2.846,1.851,4.036
4.2,0.9,1.624,4.501,5.516,1.825,-0.5,0.37,2.89,1.85,4.062
4.2,0.921,1.593,4.605,5.294,1.825,-0.49,0.37,2.933,1.85,4.09
4.2,0.942,1.553,4.71,5.038,1.825,-0.48,0.37,2.975,1.851,4.118
4.2,0.963,1.504,4.816,4.751,1.825,-0.47,0.371,3.016,1.853,4.147
4.2,0.985,1.446,4.923,4.432,1.825,-0.46,0.371,3.056,1.855,4.177
4.2,1.006,1.38,5.031,4.084,1.825,-0.45,0.372,3.093,1.86,4.207
4.2,1.028,1.305,5.139,3.708,1.825,-0.44,0.373,3.128,1.865,4.237
4.2,1.05,1.223,5.249,3.305,1.825,-0.43,0.374,3.161,1.871,4.267
4.2,1.072,1.134,5.359,2.877,1.825,-0.42,0.376,3.19,1.879,4.297
4.2,1.094,1.038,5.471,2.425,1.825,-0.41,0.378,3.216,1.888,4.327
4.2,1.117,0.935,5.583,1.95,1.825,-0.4,0.38,3.239,1.898,4.357
4.2,1.139,0.826,5.696,1.455,1.825,-0.39,0.382,3.257,1.91,4.386
4.2,1.162,0.712,5.81,0.941,1.825,-0.38,0.385,3.271,1.923,4.415
4.2,1.185,0.592,5.924,0.41,1.825,-0.37,0.387,3.281,1.937,4.442
4.2,1.208,0.467,6.039,-0.136,1.825,-0.36,0.391,3.285,1.953,4.469
