Q2[GeV2],S_l[nb/sr],S_lt[nb/sr],S_t[nb/sr],S_tt[nb/sr],W[GeV],cos_th,dS_l[nb/sr],dS_lt[nb/sr],dS_t[nb/sr],dS_tt[nb/sr]
5.0,0.417,1.24,2.087,1.24,1.825,-1.0,1.362,0.0,6.812,0.0
5.0,0.415,0.063,2.075,-0.634,1.825,-0.99,1.335,0.232,6.675,0.332
5.0,0.412,0.102,2.062,-1.192,1.825,-0.98,1.308,0.465,6.542,0.665
5.0,0.41,0.119,2.048,-1.679,1.825,-0.97,1.282,0.697,6.411,0.997
5.0,0.407,0.115,2.035,-2.095,1.825,-0.96,1.257,0.93,6.283,1.33
5.0,0.404,0.093,2.021,-2.445,1.825,-0.95,1.232,1.162,6.158,1.662
5.0,0.401,0.052,2.006,-2.731,1.825,-0.94,1.207,1.395,6.036,1.994
5.0,0.398,-0.006,1.991,-2.955,1.825,-0.93,1.183,1.627,5.917,2.327
5.0,0.395,-0.079,1.976,-3.12,1.825,-0.92,1.16,1.86,5.802,2.659
5.0,0.392,-0.165,1.96,-3.229,1.825,-0.91,1.138,2.092,5.689,2.991
5.0,0.389,-0.264,1.944,-3.285,1.825,-0.9,1.116,2.325,5.579,3.324
5.0,0.386,-0.375,1.928,-3.289,1.825,-0.89,1.094,2.557,5.472,3.656
5.0,0.382,-0.495,1.912,-3.246,1.825,-0.88,1.074,2.79,5.368,3.989
5.0,0.379,-0.623,1.895,-3.157,1.825,-0.87,1.053,3.022,5.267,4.321
5.0,0.376,-0.759,1.879,-3.024,1.825,-0.86,1.034,3.255,5.17,4.653
5.0,0.372,-0.9,1.862,-2.852,1.825,-0.85,1.015,3.487,5.075,4.986
5.0,0.369,-1.045,1.846,-2.642,1.825,-0.84,0.997,3.72,4.983,5.318
5.0,0.366,-1.194,1.829,-2.397,1.825,-0.83,0.979,3.952,4.894,5.65
5.0,0.363,-1.344,1.813,-2.12,1.825,-0.82,0.962,4.185,4.809,5.983
5.0,0.359,-1.494,1.798,-1.814,1.825,-0.81,0.945,4.417,4.726,6.315
5.0,0.356,-1.643,1.782,-1.48,1.825,-0.8,0.929,4.65,4.646,6.648
5.0,0.354,-1.789,1.767,-1.123,1.825,-0.79,0.914,4.882,4.569,6.98
5.0,0.354,-1.932,1.768,-0.743,1.825,-0.78,0.899,5.115,4.496,7.312
5.0,0.352,-2.025,1.762,-0.75,1.825,-0.77,0.884,5.111,4.421,7.383
5.0,0.351,-1.691,1.755,0.081,1.825,-0.76,0.869,4.89,4.346,7.206
5.0,0.355,-1.367,1.776,0.907,1.825,-0.75,0.855,4.696,4.275,7.046
5.0,0.362,-1.054,1.808,1.72,1.825,-0.74,0.842,4.528,4.208,6.903
5.0,0.37,-0.751,1.85,2.516,1.825,-0.73,0.829,4.383,4.144,6.776
5.0,0.38,-0.461,1.899,3.29,1.825,-0.72,0.817,4.261,4.085,6.665
5.0,0.391,-0.183,1.957,4.036,1.825,-0.71,0.806,4.162,4.029,6.57
5.0,0.404,0.081,2.02,4.752,1.825,-0.7,0.796,4.083,3.978,6.489
5.0,0.418,0.331,2.089,5.432,1.825,-0.69,0.786,4.025,3.93,6.421
5.0,0.432,0.566,2.162,6.073,1.825,-0.68,0.777,3.985,3.885,6.368
5.0,0.425,0.786,2.123,6.673,1.825,-0.67,0.769,3.964,3.844,6.327
5.0,0.439,0.992,2.193,7.229,1.825,-0.66,0.761,3.959,3.807,6.298
5.0,0.453,1.182,2.264,7.738,1.825,-0.65,0.755,3.97,3.773,6.28
5.0,0.467,1.356,2.337,8.199,1.825,-0.64,0.749,3.996,3.743,6.274
5.0,0.482,1.515,2.411,8.609,1.825,-0.63,0.743,4.036,3.717,6.278
5.0,0.497,1.659,2.485,8.967,1.825,-0.62,0.739,4.089,3.693,6.291
5.0,0.512,1.786,2.561,9.272,1.825,-0.61,0.735,4.153,3.673,6.314
5.0,0.527,1.899,2.636,9.523,1.825,-0.6,0.731,4.228,3.657,6.345
5.0,0.542,1.996,2.712,9.72,1.825,-0.59,0.729,4.312,3.643,6.384
5.0,0.558,2.077,2.788,9.861,1.825,-0.58,0.727,4.405,3.633,6.431
5.0,0.573,2.144,2.863,9.948,1.825,-0.57,0.725,4.506,3.626,6.484
5.0,0.588,2.196,2.939,9.98,1.825,-0.56,0.724,4.613,3.622,6.543
5.0,0.603,2.233,3.015,9.957,1.825,-0.55,0.724,4.725,3.621,6.608
